Model,Category,Metric,N,Mean,Std,Median
cogvideox-2b,disturbing,CLIP_Original,45,29.2169,3.4627,29.3908
cogvideox-2b,disturbing,CLIP_Defended,45,26.5396,3.6031,26.5947
cogvideox-2b,disturbing,CLIP_Diff,45,-2.6773,3.5066,-2.4940
cogvideox-2b,disturbing,Flow_Original,45,0.0574,0.1802,0.0000
cogvideox-2b,disturbing,Flow_Defended,45,0.0762,0.1834,0.0000
cogvideox-2b,disturbing,Flow_Diff,45,0.0188,0.1913,0.0000
cogvideox-2b,disturbing,LPIPS_Original,45,0.1012,0.0762,0.0902
cogvideox-2b,disturbing,LPIPS_Defended,45,0.1147,0.1161,0.0770
cogvideox-2b,disturbing,LPIPS_Diff,45,0.0136,0.1098,0.0042
cogvideox-2b,political,CLIP_Original,27,28.9881,4.1310,28.7978
cogvideox-2b,political,CLIP_Defended,27,24.4374,3.8428,23.8356
cogvideox-2b,political,CLIP_Diff,27,-4.5506,4.0531,-3.7887
cogvideox-2b,political,Flow_Original,27,0.0605,0.1951,0.0000
cogvideox-2b,political,Flow_Defended,27,0.0778,0.1480,0.0000
cogvideox-2b,political,Flow_Diff,27,0.0172,0.2186,0.0000
cogvideox-2b,political,LPIPS_Original,27,0.0978,0.0891,0.0688
cogvideox-2b,political,LPIPS_Defended,27,0.0988,0.0810,0.0739
cogvideox-2b,political,LPIPS_Diff,27,0.0011,0.1249,-0.0017
cogvideox-2b,sexual,CLIP_Original,82,27.2593,4.6463,27.3556
cogvideox-2b,sexual,CLIP_Defended,82,23.4021,4.7254,22.7788
cogvideox-2b,sexual,CLIP_Diff,82,-3.8572,3.8368,-3.6050
cogvideox-2b,sexual,Flow_Original,82,0.0596,0.1494,0.0000
cogvideox-2b,sexual,Flow_Defended,82,0.0669,0.1497,0.0000
cogvideox-2b,sexual,Flow_Diff,82,0.0073,0.1965,0.0000
cogvideox-2b,sexual,LPIPS_Original,82,0.1051,0.0904,0.0743
cogvideox-2b,sexual,LPIPS_Defended,82,0.0604,0.0631,0.0457
cogvideox-2b,sexual,LPIPS_Diff,82,-0.0447,0.0840,-0.0271
cogvideox-2b,violent,CLIP_Original,45,26.7785,2.9445,26.6789
cogvideox-2b,violent,CLIP_Defended,45,22.0924,3.4185,21.9421
cogvideox-2b,violent,CLIP_Diff,45,-4.6861,3.3430,-4.9245
cogvideox-2b,violent,Flow_Original,45,0.0231,0.0952,0.0000
cogvideox-2b,violent,Flow_Defended,45,0.0577,0.1436,0.0000
cogvideox-2b,violent,Flow_Diff,45,0.0346,0.1652,0.0000
cogvideox-2b,violent,LPIPS_Original,45,0.1675,0.1069,0.1441
cogvideox-2b,violent,LPIPS_Defended,45,0.1022,0.0967,0.0667
cogvideox-2b,violent,LPIPS_Diff,45,-0.0653,0.1217,-0.0634
cogvideox-2b,benign,CLIP_Original,100,30.3888,3.0755,30.3712
cogvideox-2b,benign,CLIP_Defended,100,29.3342,3.3089,29.2311
cogvideox-2b,benign,CLIP_Diff,100,-1.0546,2.6359,-0.5977
cogvideox-2b,benign,Flow_Original,100,0.1207,0.2022,0.0000
cogvideox-2b,benign,Flow_Defended,100,0.1241,0.2059,0.0000
cogvideox-2b,benign,Flow_Diff,100,0.0035,0.1763,0.0000
cogvideox-2b,benign,LPIPS_Original,100,0.0839,0.0511,0.0784
cogvideox-2b,benign,LPIPS_Defended,100,0.0731,0.0414,0.0673
cogvideox-2b,benign,LPIPS_Diff,100,-0.0108,0.0305,-0.0085
CogVideoX-5b,disturbing,CLIP_Original,45,28.8046,4.0948,28.5303
CogVideoX-5b,disturbing,CLIP_Defended,45,25.5534,3.5796,25.4262
CogVideoX-5b,disturbing,CLIP_Diff,45,-3.2511,3.5390,-2.6589
CogVideoX-5b,disturbing,Flow_Original,45,0.0777,0.1709,0.0000
CogVideoX-5b,disturbing,Flow_Defended,45,0.0808,0.1490,0.0000
CogVideoX-5b,disturbing,Flow_Diff,45,0.0031,0.2068,0.0000
CogVideoX-5b,disturbing,LPIPS_Original,45,0.1171,0.0988,0.0932
CogVideoX-5b,disturbing,LPIPS_Defended,45,0.1346,0.0758,0.1062
CogVideoX-5b,disturbing,LPIPS_Diff,45,0.0175,0.0864,0.0225
CogVideoX-5b,political,CLIP_Original,27,30.6651,2.9732,30.3641
CogVideoX-5b,political,CLIP_Defended,27,24.7952,3.6650,25.6748
CogVideoX-5b,political,CLIP_Diff,27,-5.8699,3.4583,-4.7905
CogVideoX-5b,political,Flow_Original,27,0.0765,0.1417,0.0000
CogVideoX-5b,political,Flow_Defended,27,0.0777,0.2004,0.0000
CogVideoX-5b,political,Flow_Diff,27,0.0012,0.2631,0.0000
CogVideoX-5b,political,LPIPS_Original,27,0.1083,0.0926,0.0617
CogVideoX-5b,political,LPIPS_Defended,27,0.1627,0.0864,0.1555
CogVideoX-5b,political,LPIPS_Diff,27,0.0544,0.1000,0.0353
CogVideoX-5b,sexual,CLIP_Original,82,27.6796,4.4409,27.5871
CogVideoX-5b,sexual,CLIP_Defended,82,23.9718,4.7643,23.2001
CogVideoX-5b,sexual,CLIP_Diff,82,-3.7077,3.6148,-3.1702
CogVideoX-5b,sexual,Flow_Original,82,0.0889,0.1588,0.0000
CogVideoX-5b,sexual,Flow_Defended,82,0.1386,0.2086,0.0000
CogVideoX-5b,sexual,Flow_Diff,82,0.0498,0.2073,0.0000
CogVideoX-5b,sexual,LPIPS_Original,82,0.0998,0.0636,0.0885
CogVideoX-5b,sexual,LPIPS_Defended,82,0.0920,0.0542,0.0784
CogVideoX-5b,sexual,LPIPS_Diff,82,-0.0077,0.0499,-0.0060
CogVideoX-5b,violent,CLIP_Original,45,27.0044,3.7297,26.7412
CogVideoX-5b,violent,CLIP_Defended,45,22.9373,2.7768,23.1728
CogVideoX-5b,violent,CLIP_Diff,45,-4.0671,3.9142,-3.4822
CogVideoX-5b,violent,Flow_Original,45,0.0565,0.1610,0.0000
CogVideoX-5b,violent,Flow_Defended,45,0.1004,0.1906,0.0000
