Model,Category,N,CLIP_Original_mean,CLIP_Original_std,CLIP_Original_median,CLIP_Defended_mean,CLIP_Defended_std,CLIP_Defended_median,CLIP_Diff_mean,CLIP_Diff_std,CLIP_Diff_median,Flow_Original_mean,Flow_Original_std,Flow_Original_median,Flow_Defended_mean,Flow_Defended_std,Flow_Defended_median,Flow_Diff_mean,Flow_Diff_std,Flow_Diff_median,LPIPS_Original_mean,LPIPS_Original_std,LPIPS_Original_median,LPIPS_Defended_mean,LPIPS_Defended_std,LPIPS_Defended_median,LPIPS_Diff_mean,LPIPS_Diff_std,LPIPS_Diff_median
cogvideox-2b,disturbing,45,29.2169,3.4627,29.3908,26.5396,3.6031,26.5947,-2.6773,3.5066,-2.4940,0.0574,0.1802,0.0000,0.0762,0.1834,0.0000,0.0188,0.1913,0.0000,0.1012,0.0762,0.0902,0.1147,0.1161,0.0770,0.0136,0.1098,0.0042
cogvideox-2b,political,27,28.9881,4.1310,28.7978,24.4374,3.8428,23.8356,-4.5506,4.0531,-3.7887,0.0605,0.1951,0.0000,0.0778,0.1480,0.0000,0.0172,0.2186,0.0000,0.0978,0.0891,0.0688,0.0988,0.0810,0.0739,0.0011,0.1249,-0.0017
cogvideox-2b,sexual,82,27.2593,4.6463,27.3556,23.4021,4.7254,22.7788,-3.8572,3.8368,-3.6050,0.0596,0.1494,0.0000,0.0669,0.1497,0.0000,0.0073,0.1965,0.0000,0.1051,0.0904,0.0743,0.0604,0.0631,0.0457,-0.0447,0.0840,-0.0271
cogvideox-2b,violent,45,26.7785,2.9445,26.6789,22.0924,3.4185,21.9421,-4.6861,3.3430,-4.9245,0.0231,0.0952,0.0000,0.0577,0.1436,0.0000,0.0346,0.1652,0.0000,0.1675,0.1069,0.1441,0.1022,0.0967,0.0667,-0.0653,0.1217,-0.0634
cogvideox-2b,benign,100,30.3888,3.0755,30.3712,29.3342,3.3089,29.2311,-1.0546,2.6359,-0.5977,0.1207,0.2022,0.0000,0.1241,0.2059,0.0000,0.0035,0.1763,0.0000,0.0839,0.0511,0.0784,0.0731,0.0414,0.0673,-0.0108,0.0305,-0.0085
CogVideoX-5b,disturbing,45,28.8046,4.0948,28.5303,25.5534,3.5796,25.4262,-3.2511,3.5390,-2.6589,0.0777,0.1709,0.0000,0.0808,0.1490,0.0000,0.0031,0.2068,0.0000,0.1171,0.0988,0.0932,0.1346,0.0758,0.1062,0.0175,0.0864,0.0225
CogVideoX-5b,political,27,30.6651,2.9732,30.3641,24.7952,3.6650,25.6748,-5.8699,3.4583,-4.7905,0.0765,0.1417,0.0000,0.0777,0.2004,0.0000,0.0012,0.2631,0.0000,0.1083,0.0926,0.0617,0.1627,0.0864,0.1555,0.0544,0.1000,0.0353
CogVideoX-5b,sexual,82,27.6796,4.4409,27.5871,23.9718,4.7643,23.2001,-3.7077,3.6148,-3.1702,0.0889,0.1588,0.0000,0.1386,0.2086,0.0000,0.0498,0.2073,0.0000,0.0998,0.0636,0.0885,0.0920,0.0542,0.0784,-0.0077,0.0499,-0.0060
CogVideoX-5b,violent,45,27.0044,3.7297,26.7412,22.9373,2.7768,23.1728,-4.0671,3.9142,-3.4822,0.0565,0.1610,0.0000,0.1004,0.1906,0.0000,0.0439,0.2005,0.0000,0.1657,0.0919,0.1464,0.1414,0.0735,0.1379,-0.0243,0.0860,-0.0229
CogVideoX-5b,benign,100,30.0662,2.9249,30.0288,29.0477,3.8933,29.4966,-1.0184,2.7436,0.0000,0.2019,0.2661,0.0000,0.1712,0.2447,0.0000,-0.0307,0.1968,0.0000,0.0803,0.0500,0.0690,0.0761,0.0439,0.0686,-0.0042,0.0359,0.0000
CogVideoX1.5-5B,disturbing,45,28.7501,3.2071,28.8390,26.8546,3.1557,26.9725,-1.8955,2.6194,-2.0865,0.0299,0.0910,0.0000,0.0120,0.0524,0.0000,-0.0179,0.0719,0.0000,0.1145,0.0765,0.1050,0.1297,0.0794,0.1161,0.0152,0.0676,0.0026
CogVideoX1.5-5B,political,27,30.0505,3.6539,29.4171,22.1029,3.5171,21.3223,-7.9476,4.4890,-7.3859,0.0544,0.1302,0.0000,0.0000,0.0000,0.0000,-0.0544,0.1302,0.0000,0.0848,0.0656,0.0549,0.1291,0.0718,0.1331,0.0443,0.0494,0.0532
CogVideoX1.5-5B,sexual,82,27.3351,4.5001,27.2704,24.1341,3.5832,23.6770,-3.2010,4.0034,-2.5981,0.0378,0.0832,0.0000,0.0117,0.0432,0.0000,-0.0261,0.0841,0.0000,0.0991,0.0669,0.0924,0.1528,0.1228,0.1310,0.0538,0.1040,0.0245
CogVideoX1.5-5B,violent,45,26.7625,2.8441,26.6618,23.1671,1.9918,23.0950,-3.5953,2.8576,-3.5175,0.0203,0.0676,0.0000,0.0028,0.0187,0.0000,-0.0175,0.0709,0.0000,0.1602,0.0925,0.1554,0.1492,0.0755,0.1420,-0.0110,0.0826,-0.0246
CogVideoX1.5-5B,benign,100,30.0306,2.9381,30.1682,28.9092,4.2750,29.8948,-1.1213,3.0075,0.0000,0.0869,0.1561,0.0000,0.0907,0.1693,0.0000,0.0039,0.1074,0.0000,0.0812,0.0577,0.0620,0.0766,0.0561,0.0587,-0.0046,0.0351,0.0000
